,Unnamed: 0,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
115,115,2130128,851,492,359,197,66,98,98,33,163,196,,,33.0,66.0,327,327,359,361,,98.0,196.0,130.0,295.0,,13602614,7415144,6187470,2651774,1260411,1538683,1538683,425593,2897307,3290163,,,343748.0,998507.0,5565450,5156226,6318422,5401761,,1113090.0,3453852.0,1686004.0,5467236.0,,3.0,520393,235847,284546,71944,71622,71489,75917,84672,144750,168023,109930,51293,49261,72555,69333,74497,73578,73235,73122,72182,74473,79308,191.0,3.0,,,,,,,,,,50600,281037,144868,170331,252983,95512,4
116,116,2130125,155,106,49,25,8,16,25,32,41,8,,,,8.0,65,82,107,48,,24.0,8.0,41.0,41.0,41.0,9920341,6453903,3466438,633214,373433,1664214,2678978,1104064,2792634,673804,,,,162362.0,3839870,5918109,7062763,2857578,,633214.0,113654.0,3831752.0,3084884.0,2256837.0,1.0,328030,139671,188358,48586,36511,37275,43008,53963,108685,81511,67457,40808,39588,56824,41844,46844,46098,46053,46892,46003,46611,49528,40.0,8.0,1.0,,,,,,,,,72483,940627,383680,434827,749532,273671,4
117,117,2130123,1759,1583,176,392,320,320,275,276,88,88,15.0,44.0,1466.0,,117,29,1422,133,,15.0,131.0,191.0,1087.0,132.0,29604279,25738049,3866230,5319100,6234683,5086570,5638828,3458868,1933115,1933115,508657.0,639673.0,19982957.0,,4970307,1569570,21138495,3989383,,316951.0,3313537.0,3026307.0,15065628.0,3405455.0,2.0,191849,88111,103738,34065,20835,26442,33137,27476,49894,50384,35991,21215,22225,35059,26977,27755,27119,26795,26757,26601,28335,28488,6.0,4.0,,,,,,,,,,42258,440377,224197,273964,408236,156910,4
118,118,2130121,3163,2397,766,500,452,471,456,518,579,187,480.0,,146.0,191.0,1197,1149,1866,1076,10.0,445.0,508.0,766.0,679.0,538.0,126324488,95831142,30493346,18315426,16998213,18416662,20879246,21221595,23076670,7416676,19323719.0,,4506866.0,4595841.0,51257909,46640153,73667142,42143870,332994.0,19810783.0,22722434.0,28044416.0,24803217.0,20097170.0,5.0,101933,46606,55327,18953,11274,14119,17542,15709,24333,21182,19033,12937,15365,20806,12609,14561,14479,14660,14474,14574,15335,13848,91.0,4.0,,2.0,,,1.0,,,,,249703,2610056,1212583,1405669,2224609,896611,5
119,119,2130120,4760,3560,1200,634,406,997,582,941,783,417,293.0,,425.0,274.0,1507,2261,3247,1171,,458.0,950.0,774.0,1320.0,916.0,194022835,141062331,52960504,24014796,17207683,39436649,21879875,38523328,35371672,17588832,13736755.0,,8179092.0,8929012.0,57409212,105768764,135248840,51803316,,18381304.0,40491970.0,37626759.0,51862292.0,38689832.0,9.0,813141,356747,456394,117988,204506,123610,107683,105768,153586,138131,142736,113621,123452,190806,104397,111058,112670,113574,112689,117202,127161,118787,99.0,14.0,,,,,,,,,,181470,1115280,764852,958019,1422982,694448,4
120,120,2130119,1671,1188,483,50,176,368,284,310,450,33,16.0,,200.0,259.0,937,259,939,732,,174.0,618.0,313.0,434.0,132.0,38678267,28060539,10617728,1094353,4014019,8370545,6419924,8161698,9702983,914745,451107.0,,3750874.0,5304687.0,21306461,7865138,22665921,16012346,,2339795.0,14656816.0,8501254.0,11255597.0,1924805.0,3.0,159160,71852,87309,25250,19964,23377,24960,25371,40239,39467,30536,18002,20469,30071,20616,22053,21749,21774,21851,21777,24709,25249,15.0,12.0,,1.0,,,,,,,,87961,922213,501743,591783,807234,321545,4
121,121,2130118,2884,1967,917,243,349,400,374,601,426,491,1080.0,,,,467,1337,2227,657,40.0,966.0,417.0,470.0,680.0,311.0,105300264,69367159,35933105,8101460,12577668,14211478,14510256,19966297,17302901,18630204,46837831.0,,,,12437819,46024614,80373275,24926989,2626269.0,38436639.0,18037009.0,14446029.0,21120038.0,10634280.0,3.0,193606,91568,102038,25079,37216,24152,27857,27136,52168,50429,40208,21676,22356,32764,26172,27360,27540,27642,27661,26964,27770,28669,67.0,11.0,,,,,,,,,,70745,926959,523904,593843,871176,355071,4
122,122,2130117,3372,2229,1143,457,301,396,512,563,731,412,834.0,34.0,17.0,51.0,1042,1394,2344,1011,23.0,718.0,725.0,693.0,758.0,438.0,156197207,102510117,53687090,19105244,13050504,14759952,22360689,33233728,30932956,22754134,40484870.0,713978.0,101997.0,2005937.0,49192173,63698252,110343711,44017553,699037.0,27716213.0,32032575.0,33151893.0,44364656.0,16396890.0,9.0,327684,160624,167060,46738,76896,38558,44129,44611,76753,67373,59542,40445,46816,70074,43435,45151,45082,44142,44653,45119,51806,51731,119.0,22.0,,1.0,,,,,,,,84526,883855,486015,570324,829231,330233,4
123,123,2130115,6849,4576,2273,830,816,956,995,979,1282,991,937.0,47.0,185.0,408.0,2103,3169,4966,1867,26.0,797.0,1192.0,1346.0,1912.0,1559.0,294028730,194845065,99183665,34523455,31338369,43287020,46351555,39344666,57237758,41945907,42880323.0,1794147.0,7393925.0,15784007.0,85621560,140554768,215375539,77349237,1057060.0,34638689.0,52866145.0,59982934.0,79958199.0,64221750.0,16.0,757159,348240,408919,77810,99849,117948,111994,136171,213389,192021,142724,88140,91113,138461,104697,107599,105719,105311,105518,106217,113414,113382,307.0,23.0,,2.0,,,1.0,,,,,119469,1061433,597634,701960,1051922,335306,4
124,124,2130112,8044,4837,3207,744,1103,773,1001,1216,1989,1218,753.0,312.0,353.0,1004.0,2876,2746,5474,2534,14.0,1334.0,1494.0,950.0,2009.0,2208.0,248644792,149371046,99273746,28424148,29438932,25725648,26245191,39537127,58704620,40569126,42812542.0,3652817.0,6027965.0,19340128.0,74491176,102320164,167269031,80456834,766613.0,52986681.0,65609660.0,30803902.0,46939805.0,50619204.0,15.0,636418,295889,340529,65209,103570,98644,99633,105960,163402,126269,120927,76404,83850,138269,90701,90417,89209,89637,88915,90366,95206,92668,86.0,20.0,,,,,,,,,,128940,1487981,690849,819203,1409504,497612,4
125,125,2130111,3342,2100,1242,335,473,455,352,485,707,535,518.0,,24.0,112.0,1063,1625,2265,1064,10.0,292.0,396.0,445.0,1156.0,1031.0,138921073,89038486,49882587,14462195,18549806,19515439,15110065,21400981,29314723,20567864,20990991.0,,724996.0,3535716.0,45016674,68652696,99432724,39177007,504686.0,16166768.0,16140407.0,20325435.0,45218232.0,40254203.0,9.0,942345,430901,511444,98060,133818,146452,128755,168741,266518,230252,181173,110028,119564,176228,125099,133858,133179,133357,132653,133257,137403,138639,224.0,45.0,,,,,4.0,,,,,135557,1605511,701822,832139,1359277,471370,4
126,126,2130110,228,213,15,11,77,32,27,66,10,5,38.0,,10.0,31.0,72,77,196,32,,,60.0,5.0,65.0,98.0,13598492,12220267,1378225,351312,5107543,1761967,2080850,2918595,1053937,324288,2486211.0,,135120.0,1243104.0,4329250,5404807,12004074,1594418,,,2113279.0,648577.0,3756340.0,7080296.0,4.0,513915,236523,277392,61254,60929,69424,77636,93281,151391,138298,99362,57960,60190,89119,68985,73389,72371,72172,72332,72015,74978,76657,103.0,22.0,,1.0,,,1.0,,,,,133159,1532062,703917,827485,1435890,504020,4
127,127,2130107,2390,1544,846,328,208,338,304,366,508,338,687.0,,6.0,51.0,463,1183,1631,759,61.0,782.0,715.0,370.0,349.0,113.0,87999418,55395327,32604091,13152041,6800719,12577468,9935218,12929881,18931045,13673046,28873593.0,,62025.0,1607002.0,16148958,41307840,62019834,25979584,4357995.0,27979351.0,26658615.0,12807088.0,12035203.0,4161166.0,5.0,54508,26305,28201,4940,9450,9423,8564,9676,12453,13997,10053,5822,6457,10118,8060,7781,7721,7656,7651,7678,8079,7942,13.0,1.0,,,,,,,,,,116784,783645,410207,482247,758249,274465,4
128,128,2130106,4493,3049,1444,531,645,572,622,679,837,607,1190.0,,12.0,129.0,1355,1807,2796,1697,14.0,685.0,644.0,848.0,1587.0,715.0,137035313,93128532,43906781,16443916,19541578,18829890,17462541,20850607,27515425,16391356,46225476.0,,143801.0,1844892.0,29146398,59674746,87027508,50007805,345782.0,21971747.0,19957611.0,23742657.0,51234957.0,19782559.0,13.0,586222,279641,306581,64598,85771,88511,92921,104905,149515,131992,107212,70387,77759,116956,81914,83742,83210,83013,82797,82599,86078,84783,166.0,20.0,,1.0,,,1.0,,,,,118289,805883,420062,493600,780076,282172,4
129,129,2130102,580,430,150,75,111,75,94,75,94,56,,,,,205,375,450,130,,,,,244.0,336.0,23877423,15799861,8077562,1907202,2729917,3159973,2972992,5029777,5141966,2935596,,,,,5908588,17968835,19015927,4861496,,,,,6506926.0,17370497.0,3.0,35173,15877,19296,6300,5513,4342,5918,4247,8852,9951,6912,3795,3853,5761,4901,4962,4911,4963,4912,4951,5153,5322,,1.0,,,,,,,,,,34868,185229,95875,123807,174843,75415,4
130,130,2130101,1501,1234,267,299,206,241,145,343,253,14,53.0,,14.0,,589,845,1290,190,,92.0,145.0,214.0,484.0,547.0,66675570,56328246,10347324,12394722,9521586,9346514,8722141,16343283,9771939,575385,2900077.0,,2356998.0,,25028157,36390338,56889746,7768512,,5829300.0,8555207.0,8019798.0,20991084.0,21262870.0,3.0,296718,138550,158169,37468,39316,47697,50072,46341,75825,69753,58106,35737,38538,56249,38335,41921,41471,41748,41567,41708,43781,44525,8.0,5.0,,,,,2.0,,,,,64330,500273,237437,288654,480553,187989,4
131,131,2130100,5528,3944,1584,1008,937,526,689,784,1047,537,292.0,,732.0,387.0,2446,1671,3279,2192,102.0,641.0,1201.0,1684.0,1212.0,630.0,155360001,107874217,47485784,27478907,24907379,17524629,18463732,19499570,32448025,15037759,12495127.0,,17419517.0,9253414.0,56642598,59549345,95598121,57253703,2112993.0,15733168.0,34500898.0,48716148.0,33147931.0,18640687.0,6.0,262151,118017,144133,37947,26173,37654,38786,45715,75874,58864,53494,33307,35248,49853,31385,36746,37019,36871,36499,36626,39610,38781,93.0,7.0,,,,,,,,,,43767,523222,271617,342453,493878,188399,4
132,132,2130098,775,661,114,69,172,91,143,186,99,15,248.0,,,,91,436,494,266,31.0,570.0,24.0,38.0,77.0,24.0,43579519,37757630,5821889,3627959,12469509,4926561,5348643,11384958,5072522,749367,13429918.0,,,,6423412,23726189,28845640,11498661,794389.0,34449746.0,936846.0,1390391.0,2195213.0,577715.0,2.0,225141,99252,125890,34655,101472,26370,19710,17318,25614,37112,44522,34697,35788,46714,26307,32294,33120,32983,32932,33272,30609,29931,55.0,12.0,1.0,2.0,,,,,,,,181636,2517167,1467673,1623902,2222217,946600,5
133,133,2130096,1453,1060,393,190,226,245,208,191,231,162,114.0,,,18.0,411,910,971,339,,90.0,310.0,321.0,364.0,226.0,59805718,43701659,16104059,6915781,11496517,10004353,8765350,6519658,10025201,6078858,5778042.0,,,381231.0,15883661,37762784,41235567,11675220,,4077391.0,12291743.0,13143558.0,14394474.0,9003619.0,2.0,52228,25105,27125,3971,8933,9224,8354,8553,13195,8003,11226,8203,8356,10718,5724,7573,7715,7724,7581,7865,7118,6654,14.0,4.0,,,,,,,,,,102564,1379893,539773,621382,1129660,385345,4
134,134,2130095,5616,4065,1551,816,875,915,709,750,1073,478,164.0,42.0,349.0,962.0,2225,1874,4203,1276,18.0,276.0,443.0,820.0,1476.0,2446.0,218885663,153510126,65375537,30860025,29216021,31012090,30699230,31722760,43384513,21991024,8522031.0,909576.0,9298711.0,34151614.0,86839903,79163828,158601260,49391920,623618.0,13330399.0,20748094.0,33100272.0,50556538.0,89634260.0,12.0,304870,160138,144732,13166,29073,34325,41694,58452,128159,42288,64364,56086,57778,56992,27361,44381,44571,43801,43977,45514,45118,37508,95.0,15.0,,,,,,,,,,200211,1450910,1079677,1226678,1378771,440254,4
135,135,2130094,8487,6100,2387,880,1200,1289,1251,1480,2183,204,1124.0,,77.0,599.0,3574,3113,5736,2572,,694.0,2094.0,2587.0,2121.0,812.0,372077819,264152754,107925065,33320603,51697344,55666210,51276083,72192514,100561607,7363458,55844872.0,,2514040.0,20597263.0,146567138,146554506,253206880,109363528,,35347792.0,100968463.0,102559964.0,89012375.0,34681815.0,5.0,202595,106305,96289,7791,18537,22710,27271,38906,87381,27198,44002,38067,38850,36806,17673,29795,30023,29347,29417,30472,29604,23938,54.0,12.0,,2.0,,,,,,,,202915,1392704,1109266,1291438,1449120,465912,4
136,136,2130091,1357,964,393,64,156,221,64,459,257,136,324.0,42.0,58.0,100.0,464,369,1181,176,,14.0,,120.0,542.0,681.0,159585559,112441406,47144153,6303264,44270813,43651024,1159848,17056457,33554573,13589580,19847643.0,11515738.0,17657887.0,40387811.0,43123988,27052492,105579058,54006501,,702179.0,,52040400.0,33898577.0,72944403.0,8.0,366683,191156,175527,15803,31006,39542,49722,70046,160564,53681,81795,68662,68467,62333,31744,54063,54501,52830,53110,54868,53447,43861,36.0,4.0,,,,,,,,,,185759,1350904,1008353,1148186,1273241,408661,4
137,137,2130089,606,478,128,109,120,97,65,87,85,43,11.0,,11.0,130.0,249,205,401,173,,,,11.0,227.0,335.0,20774672,16660876,4113796,3724068,5282981,3669940,1374874,2609013,2111027,2002769,216516.0,,54129.0,2273414.0,9126132,9104481,13315710,5607755,,,,519637.0,9266869.0,9136958.0,1.0,63747,31429,32318,3579,5891,7120,9086,11515,26559,13153,14147,10129,9857,10041,6422,9331,9317,9086,9174,9358,9249,8234,42.0,3.0,,,,,,,,,,143679,1042924,808024,911357,887131,251921,4
138,138,2130086,1243,966,277,211,164,152,242,197,189,88,195.0,16.0,68.0,117.0,365,482,894,302,5.0,222.0,284.0,227.0,254.0,205.0,47321287,35282650,12038637,7690817,5286489,4344769,10777788,7182787,9346863,2691774,9005873.0,95316.0,513645.0,1235770.0,14222690,22247993,35126813,9573077,405162.0,9552857.0,12072849.0,8531439.0,8720971.0,5416614.0,4.0,1016337,507718,508620,95779,146917,122907,140941,165713,344079,194027,228400,167786,163031,162642,100451,150586,153247,148650,149387,149233,139241,125994,1184.0,134.0,1.0,1.0,,,,,,,,88154,582911,467796,523483,459730,133357,1
139,139,2130084,5120,3163,1957,543,496,721,530,873,1112,845,1196.0,,97.0,123.0,1317,2387,2967,2153,27.0,984.0,966.0,1033.0,1356.0,754.0,201203749,112355904,88847845,16443494,17403915,24109222,20892361,33506912,50280089,38567756,49695088.0,,1145264.0,3919394.0,49836034,96607969,120877694,80326055,2475352.0,37997839.0,38547350.0,39442220.0,47662794.0,35078194.0,3.0,196388,89307,107081,21457,24670,26560,27144,37891,58668,55669,38395,21060,21592,32196,27475,28513,28045,27771,27887,27530,28119,28523,21.0,11.0,,1.0,,,,,,,,34915,339184,168861,198161,280913,104741,4
140,140,2130083,1808,1357,451,172,267,289,230,399,272,179,367.0,,8.0,43.0,507,883,1397,349,8.0,271.0,423.0,359.0,305.0,381.0,66803778,48654876,18148902,6241157,8192372,10678690,10019428,13523229,10721523,7427379,13832371.0,,643322.0,869882.0,18470790,32987413,54480776,10501547,255779.0,11432536.0,16221286.0,12646880.0,9298000.0,15127840.0,5.0,248063,109784,138280,32679,31996,43009,35933,42601,61843,57114,47683,30877,32343,48012,32034,35544,34940,34320,34398,34811,36381,37667,111.0,18.0,,,,,1.0,,,,,73687,850201,352021,430578,726623,258422,4
141,141,2130078,12851,8282,4569,1387,1357,1696,1750,2092,2874,1695,2663.0,116.0,71.0,97.0,3903,6001,7562,5175,228.0,7223.0,3656.0,818.0,672.0,140.0,717312858,459651267,257661591,72098117,74636911,91928993,102456648,118530598,164600287,93061304,143852738.0,6759841.0,3583045.0,5938118.0,221222740,335956376,433893460,273597382,14031350.0,399509703.0,195731072.0,44865533.0,38824190.0,14528993.0,11.0,386916,185199,201718,39418,183501,63929,33962,28678,37430,99249,65067,37444,41435,82468,61254,51709,51753,53093,53695,55209,63198,58257,65.0,4.0,,,,,,,,,,275938,2467900,1559472,1956995,3565761,1646030,5
142,142,2130076,2496,1892,604,359,334,333,429,437,380,224,,,46.0,185.0,843,1422,1851,641,15.0,203.0,364.0,800.0,775.0,335.0,86317166,59012416,27304750,11818306,9094672,13477582,11576199,13045657,19274410,8030340,,,1888651.0,8608785.0,25980883,49838847,66966658,19001083,603749.0,6819857.0,13775627.0,31898869.0,25011412.0,7858226.0,3.0,234363,108252,126110,24641,36244,36375,37101,40739,59263,51184,44844,27991,31857,49248,29239,33092,32855,32887,32960,33141,35143,34282,88.0,4.0,,,,,,,,,,47649,592611,317429,448561,836692,352013,4
143,143,2130075,695,539,156,80,138,130,133,58,78,78,6.0,15.0,216.0,95.0,68,217,381,120,,15.0,30.0,133.0,268.0,56.0,28937245,21869271,7067974,4113254,6897114,2826812,6501929,1530162,3533987,3533987,342135.0,201604.0,5127133.0,5298103.0,3616147,10818136,17216984,5553814,,101527.0,1232833.0,4348540.0,14967742.0,2120156.0,2.0,79754,37954,41799,6595,10307,11378,12219,16344,22911,17258,14967,9910,10949,16467,10204,11194,11013,10984,10892,10949,12255,12468,23.0,6.0,,,,,1.0,,,,,68888,342427,169324,216238,347501,156257,4
144,144,2130073,8007,5444,2563,907,1051,1250,979,1257,1568,995,1021.0,31.0,116.0,253.0,2792,3794,5141,2336,,1456.0,1801.0,1860.0,1331.0,1030.0,518146991,318334876,199812115,52452562,60836615,74695792,56433574,73916333,88688335,111123780,55973016.0,1085935.0,8811698.0,20642877.0,239236130,192397335,289020177,174300929,,71659251.0,97843186.0,143793935.0,83841885.0,66182848.0,9.0,212470,106676,105794,27234,29416,41028,32030,38283,44481,47363,41649,29111,31168,37851,25328,31094,31215,31118,31370,31458,28865,27350,45.0,9.0,,,,,2.0,,,,,16164,174332,89273,109978,168590,59933,4
145,145,2130072,30167,20720,9447,3563,3764,4403,4318,4672,4914,4533,3397.0,108.0,2309.0,1793.0,10679,11881,17669,11437,227.0,8272.0,6509.0,4938.0,5902.0,3257.0,1022930186,697420182,325510004,116560384,133329985,152819397,144399263,150311153,169186774,156323230,140076237.0,1206351.0,53183081.0,47297261.0,346222720,434944536,603678284,360874569,7263663.0,268325528.0,227322596.0,161563249.0,212089823.0,87987993.0,16.0,1055356,503657,551699,98025,210722,156445,160605,172075,257485,300308,218231,114119,112447,167732,142518,149729,149638,148942,148214,149057,152016,157763,132.0,26.0,1.0,1.0,,,,,,,,114578,1528839,598746,693321,1249105,431287,1
146,146,2130069,43252,29705,13547,4442,5277,5713,6326,7947,7885,5662,12180.0,238.0,263.0,287.0,7972,22312,25328,17776,2606.0,28240.0,7104.0,2016.0,2546.0,591.0,2099042451,1438119768,660922683,210215898,266623345,269939067,295906707,395434751,403979093,256943590,586341676.0,11030176.0,10925631.0,28387131.0,347680144,1114677693,1289765309,786832142,149500029.0,1341248830.0,334056396.0,100277796.0,124356015.0,27158384.0,33.0,440641,210247,230394,75533,187032,55056,40611,34459,47951,85636,81120,57187,59163,94116,63421,62251,65038,65383,65563,68960,61257,52190,32.0,6.0,,,,,1.0,,,,,57180,523956,312256,386524,570772,241602,1
147,147,2130068,3645,2972,673,500,592,566,666,648,549,124,317.0,,,75.0,1041,2212,2297,823,,374.0,813.0,666.0,851.0,417.0,168809829,141104624,27705205,24295973,27672133,25299143,30483298,33354077,22488794,5216411,14510346.0,,,3189403.0,41864052,109246028,106254508,31649991,,13780598.0,41984705.0,31454016.0,35741791.0,14943389.0,6.0,658732,331650,327082,76760,84992,108393,116601,116841,155145,129236,152889,98105,96680,112901,68918,96860,98882,98801,98089,98496,88053,79550,975.0,16.0,2.0,1.0,,,,,,,,55856,376845,185396,220904,331221,119442,4
148,148,2130067,50905,34804,16101,6059,6399,7005,6627,8714,10464,5637,10533.0,77.0,49.0,1161.0,16515,22570,29553,20091,426.0,15542.0,13969.0,8439.0,8039.0,3227.0,2093320308,1435825830,657494478,250012918,262091981,290223768,266390960,367106203,438598906,218895572,438868877.0,6465140.0,1686050.0,43064104.0,679837212,923398925,1233243399,787448124,21960329.0,615031480.0,589676089.0,345483341.0,334303107.0,114237173.0,27.0,1134825,531344,603481,115033,273313,206890,161101,172218,206271,285714,231326,139939,139826,195224,142795,161153,162692,163740,164066,165989,163501,153683,1670.0,35.0,,1.0,,,,,,,,132067,1603111,762855,907373,1536022,588639,3
149,149,2130066,11131,7831,3300,1150,1625,1569,1509,1978,1893,1407,2066.0,,881.0,41.0,2000,6143,6454,3644,,2987.0,3324.0,1602.0,1552.0,633.0,497836454,349635779,148200675,42463455,78990353,66064692,73742697,88374582,86876521,61324154,89879972.0,,54601584.0,2357195.0,91560511,259437192,303265334,145598046,,114134523.0,140368622.0,69966830.0,98456803.0,25936602.0,12.0,795161,366766,428395,91167,176788,146313,117423,118287,145183,216161,150925,87753,90362,142251,107708,112175,111278,112874,112104,114500,117493,114738,397.0,27.0,1.0,1.0,,,1.0,,,,,138502,1537344,762034,924649,1522215,598014,4
150,150,2130065,1219,957,262,200,241,179,179,158,230,32,96.0,,,64.0,419,640,783,374,11.0,86.0,183.0,150.0,492.0,236.0,80747663,62873832,17873831,15413552,14151869,13363317,9830608,10114486,16054906,1818925,5614487.0,,,2723131.0,26642522,45767523,55533860,21754691,750398.0,5433218.0,12679744.0,11222478.0,33917504.0,13285209.0,2.0,1019709,456724,562984,120297,217889,173990,148763,156448,202322,302755,207353,104895,104567,161359,138781,143310,141836,143189,141711,144601,151821,153242,144.0,15.0,2.0,,,,,,,,,91964,1232234,547863,638447,1100463,404273,4
151,151,2130064,392,216,176,20,41,62,31,62,72,104,21.0,,,,247,124,174,207,,,,186.0,10.0,186.0,10409174,6846510,3562664,846778,2013679,1301147,1208207,1476699,2054986,1507678,567961.0,,,,6536714,3304499,5369812,4750218,,,,4027359.0,227184.0,5865487.0,1.0,73148,33092,40056,12488,6960,11540,11712,11324,19124,16872,13759,8591,9451,14716,9759,10163,10115,10015,10024,10184,11280,11366,36.0,17.0,,,,,,,,,,21593,401605,228429,277691,372691,138126,4
152,152,2130063,193,108,85,24,24,24,24,12,61,24,,,,48.0,73,24,109,36,,12.0,37.0,24.0,36.0,36.0,3471759,2116926,1354833,290321,495966,495966,544352,290321,1137092,217741,,,,804432.0,1439510,441530,1995959,689513,,120967.0,991932.0,338708.0,574594.0,659271.0,5.0,145847,64396,81451,23897,14323,24718,25918,20959,36032,29944,28734,18902,21472,29407,17387,20358,20122,20274,20075,20248,22129,22642,30.0,13.0,,,,,,,,,,21335,609202,280503,355450,545636,192005,4
153,153,2130058,12182,8394,3788,1367,1790,1691,1675,1871,2081,1707,2244.0,,,48.0,3431,6459,5807,3839,115.0,2798.0,2684.0,1773.0,1725.0,552.0,737712112,506992531,230719581,81168541,118010842,102218381,91331178,114263589,133835832,96883749,130507381.0,,,1561355.0,205845233,399798143,353690983,208124650,5086604.0,151093694.0,169878755.0,104575051.0,99409567.0,31771962.0,5.0,65845,28642,37203,15399,5791,9611,12578,9106,13362,11865,14401,10169,9456,12373,7579,9701,9795,9883,9925,9981,8422,8138,109.0,4.0,1.0,,,,,,,,,7276,139969,101245,129541,151418,53991,4
154,154,2130057,2606,2079,527,347,297,396,462,577,363,164,825.0,,,,610,1171,1459,1097,16.0,184.0,450.0,536.0,1167.0,201.0,115643669,89507176,26136493,13900986,14362702,16654798,19012854,25575836,19870330,6266163,39608741.0,,,,24124723,51910205,66637727,45031876,1071843.0,7466880.0,22345060.0,24701683.0,49510728.0,6573409.0,2.0,20300,9894,10406,3114,2635,3496,3364,3643,4049,4727,4102,2547,2606,3558,2763,3020,3001,2997,2934,2984,2687,2678,12.0,2.0,,,,,1.0,,,,,21380,250622,129439,167215,246176,114945,4
155,155,2130056,13838,10338,3500,2229,2082,2160,2117,1750,1989,1511,3021.0,,2227.0,277.0,2898,5415,8896,3500,87.0,1986.0,3121.0,3332.0,2724.0,1145.0,554459097,407972619,146486478,94546713,74628310,89445942,81181134,68170520,79339700,67146778,154040265.0,,41864777.0,7288339.0,103631238,247634478,338582680,138408178,3730525.0,93581790.0,127004869.0,122097864.0,92954874.0,37620940.0,16.0,585244,286035,299208,54679,81243,110704,91724,98068,148826,127954,116090,78782,80869,111596,69953,83569,83055,83705,83301,84997,84821,81799,65.0,20.0,,,,,1.0,,,,,56282,1159819,543448,616790,1038935,354246,4
156,156,2130055,1025,763,262,157,123,183,123,177,199,63,193.0,,,37.0,278,517,666,269,,85.0,226.0,162.0,236.0,224.0,43102075,31944855,11157220,6898801,4604566,7341548,5232462,7867478,8661738,2495482,9131318.0,,,1078693.0,10073161,22818903,27359071,10043644,,2787963.0,10368326.0,6922950.0,9429166.0,7894310.0,2.0,551007,262135,288873,51383,89449,102649,81079,93907,132538,116859,115096,76890,78210,99549,64402,81166,81876,81449,80312,80812,75351,70041,203.0,6.0,1.0,,,,,,,,,122706,1591597,882333,1023792,1683860,694040,4
157,157,2130053,29701,19346,10355,3672,3597,3143,4146,4788,5566,4789,5467.0,124.0,549.0,918.0,8737,13906,19476,9621,26.0,5667.0,7958.0,6183.0,6571.0,2696.0,1175404030,771706794,403697236,146721813,158470221,125412450,156217846,184884464,223334474,180362762,239335676.0,6092804.0,16391315.0,34890162.0,336769516,541924557,764252038,379023708,1115904.0,239583303.0,340000737.0,241843290.0,238782306.0,81950204.0,18.0,500626,233937,266689,47009,76097,76933,79128,98846,122610,92326,96133,71374,74794,104739,61257,70647,72383,73185,71933,73201,71768,67509,160.0,23.0,1.0,,,,,,,,,147173,1703433,951666,1107734,1820834,761771,4
158,158,2130052,1725,1099,626,173,43,301,270,312,507,119,169.0,,43.0,100.0,747,666,1456,160,,37.0,36.0,324.0,395.0,824.0,60533512,34452276,26081236,7771248,1365022,7919237,5563934,11832835,20417982,5663254,6876465.0,,1353228.0,3061683.0,25777530,23464606,47538347,8408802,,758977.0,2389083.0,10284245.0,15949092.0,26565753.0,5.0,1573097,743015,830083,134134,241178,289800,241530,264202,402253,356158,332423,214398,213854,274374,181892,228096,230220,230235,226726,227711,220299,209811,479.0,15.0,,2.0,,,,,,,,148541,1582917,900697,1032581,1677191,705505,1
